City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain Fall,Snow Fall
108,Grafton,42.21,-71.69,scattered clouds,45.0,30,40,16.11,US,2020-04-16 22:48:19,0.0,0.0
109,Kansanshi,-12.1,26.43,light rain,61.57,64,80,4.5,ZM,2020-04-16 22:48:19,0.39,0.0
110,Bac Lieu,9.29,105.72,light rain,82.8,78,97,13.04,VN,2020-04-16 22:48:20,0.3,0.0
111,Lata,40.16,-8.33,few clouds,59.0,87,20,10.29,PT,2020-04-16 22:48:20,0.0,0.0
112,Cumberland,35.05,-78.87,clear sky,68.0,20,1,10.29,US,2020-04-16 22:48:20,0.0,0.0
113,Kodiak,57.79,-152.41,haze,46.4,81,40,5.82,US,2020-04-16 22:48:20,0.0,0.0
114,Mecca,21.43,39.83,clear sky,68.16,43,0,1.77,SA,2020-04-16 22:48:20,0.0,0.0
115,Dingle,11.0,122.67,scattered clouds,83.97,72,39,10.09,PH,2020-04-16 22:48:20,0.0,0.0
116,Dikson,73.51,80.55,clear sky,-1.68,86,0,9.62,RU,2020-04-16 22:48:21,0.0,0.0
117,Tuktoyaktuk,69.45,-133.04,light snow,19.4,79,90,16.11,CA,2020-04-16 22:48:21,0.0,0.0
118,Avarua,-21.21,-159.78,overcast clouds,80.6,65,92,8.05,CK,2020-04-16 22:46:27,0.0,0.0
119,Zhigansk,66.77,123.37,few clouds,-3.41,88,16,17.83,RU,2020-04-16 22:48:21,0.0,0.0
120,Nuuk,64.18,-51.72,light shower snow,28.4,86,75,29.97,GL,2020-04-16 22:48:21,0.0,0.0
121,Hastings,50.86,0.57,few clouds,52.0,87,13,8.05,GB,2020-04-16 22:48:21,0.0,0.0
122,Atuona,-9.8,-139.03,scattered clouds,82.76,72,29,12.1,PF,2020-04-16 22:48:22,0.0,0.0
123,Tayoltita,24.08,-105.93,overcast clouds,83.97,10,97,7.63,MX,2020-04-16 22:48:22,0.0,0.0
124,Lompoc,34.64,-120.46,clear sky,72.0,72,1,14.99,US,2020-04-16 22:48:22,0.0,0.0
125,Kerman,30.28,57.08,broken clouds,48.2,93,75,6.93,IR,2020-04-16 22:48:22,0.0,0.0
126,Malindi,-3.22,40.12,light rain,79.79,85,95,9.35,KE,2020-04-16 22:48:22,1.12,0.0
127,Bilma,18.69,12.92,overcast clouds,83.41,12,96,8.3,NE,2020-04-16 22:48:13,0.0,0.0
128,New Norfolk,-42.78,147.06,few clouds,51.01,66,20,19.46,AU,2020-04-16 22:48:23,0.0,0.0
129,Fairbanks,64.84,-147.72,overcast clouds,44.6,80,90,13.87,US,2020-04-16 22:48:23,0.0,0.0
130,Puerto Del Rosario,28.5,-13.86,few clouds,68.0,72,19,6.93,ES,2020-04-16 22:48:23,0.0,0.0
131,Salalah,17.02,54.09,few clouds,82.4,74,20,3.36,OM,2020-04-16 22:48:23,0.0,0.0
132,Pisco,-13.7,-76.22,few clouds,75.99,30,11,19.46,PE,2020-04-16 22:44:43,0.0,0.0
133,Norman Wells,65.28,-126.83,light rain,42.8,93,90,11.41,CA,2020-04-16 22:48:24,0.0,0.0
134,Lasa,46.62,10.7,clear sky,46.0,39,10,2.24,IT,2020-04-16 22:48:24,0.0,0.0
135,Astana,51.18,71.45,clear sky,30.2,86,7,4.47,KZ,2020-04-16 22:48:24,0.0,0.0
136,Sao Filipe,14.9,-24.5,broken clouds,72.16,74,74,14.07,CV,2020-04-16 22:48:24,0.0,0.0
137,San Pedro Buenavista,16.08,-93.12,smoke,95.0,44,40,23.04,MX,2020-04-16 22:48:25,0.0,0.0
138,Nador,35.17,-2.93,scattered clouds,62.6,88,40,2.15,MA,2020-04-16 22:48:25,0.0,0.0
139,Lingyuan,41.24,119.4,overcast clouds,46.27,60,89,20.31,CN,2020-04-16 22:48:25,0.0,0.0
140,Brae,60.4,-1.35,few clouds,42.8,67,15,4.7,GB,2020-04-16 22:48:25,0.0,0.0
141,Le Port,-20.94,55.29,light rain,75.2,69,40,16.11,RE,2020-04-16 22:48:25,0.18,0.0
142,Saskylakh,71.92,114.08,clear sky,-5.15,90,0,3.02,RU,2020-04-16 22:48:25,0.0,0.0
143,Bandon,51.75,-8.74,light intensity drizzle,50.0,100,75,9.17,IE,2020-04-16 22:48:26,0.0,0.0
144,Haines Junction,60.75,-137.51,light rain,43.09,66,100,2.01,CA,2020-04-16 22:48:26,0.19,0.0
145,Nizhniy Tsasuchey,50.52,115.13,scattered clouds,50.14,42,43,7.07,RU,2020-04-16 22:48:26,0.0,0.0
146,Biak,-0.91,122.88,light rain,81.88,74,12,1.88,ID,2020-04-16 22:48:26,1.22,0.0
147,Tucurui,-3.77,-49.67,light rain,75.61,89,6,0.27,BR,2020-04-16 22:48:26,0.66,0.0
148,Vestmannaeyjar,63.44,-20.27,light rain,43.92,95,100,12.59,IS,2020-04-16 22:48:27,1.5,0.0
149,Qaanaaq,77.48,-69.36,overcast clouds,16.02,83,100,2.13,GL,2020-04-16 22:48:27,0.0,0.0
150,Muros,42.78,-9.06,broken clouds,60.01,100,75,8.05,ES,2020-04-16 22:48:27,0.0,0.0
151,Hermanus,-34.42,19.23,overcast clouds,60.01,94,92,2.26,ZA,2020-04-16 22:48:27,0.0,0.0
152,Kudahuvadhoo,2.67,72.89,few clouds,84.97,64,23,3.11,MV,2020-04-16 22:48:27,0.0,0.0
