City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
436,Port-Gentil,GA,80.6,thunderstorm with light rain,-0.72,8.78,Fengshui Residence
443,Laguna,US,82.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
445,Isangel,VU,78.39,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
446,Grand Gaube,MU,75.2,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
451,Umm Lajj,SA,75.56,scattered clouds,25.02,37.27,Tanal Hotel Apartment
456,Sakti,IN,80.22,scattered clouds,22.03,82.97,Chhattu hotel
464,Alvaraes,BR,82.4,scattered clouds,-3.22,-64.8,Av. Castelo Branco. Ginásio Ermelino vieira.
471,Oranjestad,AW,84.2,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
472,Namibe,AO,75.2,clear sky,-15.2,12.15,Chik-Chik Namibe
473,Quang Ngai,VN,76.3,overcast clouds,15.12,108.8,Central Hotel
477,Inhambane,MZ,76.51,scattered clouds,-23.86,35.38,MHL Turismo SA
479,Putol,PH,82.4,few clouds,13.99,120.73,
482,Kerouane,GN,79.54,few clouds,9.27,-9.02,
484,Zinder,NE,79.68,clear sky,13.81,8.99,hôtel central
490,Nioro,GM,79.88,scattered clouds,13.35,-15.75,
504,Beterou,BJ,85.91,few clouds,9.2,2.26,Monastère de Kokoubou
506,Makakilo City,US,82.4,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
509,Sechura,PE,75.79,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
517,Hermosillo,MX,86.0,overcast clouds,29.07,-110.97,Hotel San Andrés
519,El Tocuyo,VE,86.0,few clouds,9.79,-69.79,HOTEL BOUTIQUE SANTO DOMINGO
528,Hobyo,SO,84.02,broken clouds,5.35,48.53,
530,Mangrol,IN,78.71,scattered clouds,21.12,70.12,Hotel The Royal Honours
534,Cururupu,BR,78.35,broken clouds,-1.83,-44.87,Pousada Través'cia
536,Mareeba,AU,79.0,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
537,Belmonte,BR,80.6,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
542,Aketi,CD,75.92,scattered clouds,2.74,23.78,
545,Marawi,PH,77.61,broken clouds,8.0,124.29,Derogongan Residence
547,Cockburn Town,TC,79.09,clear sky,21.46,-71.14,Osprey Beach Hotel
550,Manta,EC,82.4,scattered clouds,-0.95,-80.73,Balandra Hotel
559,Aswan,EG,75.13,broken clouds,24.09,32.91,Nuba Nile
566,Rengo,CL,75.2,broken clouds,-34.42,-70.87,Hostal Cartagena
